2024-09-06 15:05:30,686 INFO    MainThread:3384659 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-09-06 15:05:30,687 INFO    MainThread:3384659 [wandb_setup.py:_flush():77] Configure stats pid to 3384659
2024-09-06 15:05:30,687 INFO    MainThread:3384659 [wandb_setup.py:_flush():77] Loading settings from /root/.config/wandb/settings
2024-09-06 15:05:30,687 INFO    MainThread:3384659 [wandb_setup.py:_flush():77] Loading settings from /workspace/project/llm_evaluation/wandb/settings
2024-09-06 15:05:30,687 INFO    MainThread:3384659 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-06 15:05:30,687 INFO    MainThread:3384659 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-09-06 15:05:30,687 INFO    MainThread:3384659 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'src/main.py', 'program_abspath': '/workspace/project/llm_evaluation/src/main.py', 'program': '/workspace/project/llm_evaluation/src/main.py'}
2024-09-06 15:05:30,687 INFO    MainThread:3384659 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-06 15:05:30,687 INFO    MainThread:3384659 [wandb_init.py:_log_setup():524] Logging user logs to /workspace/project/llm_evaluation/wandb/run-20240906_150530-v8zl9h2t/logs/debug.log
2024-09-06 15:05:30,687 INFO    MainThread:3384659 [wandb_init.py:_log_setup():525] Logging internal logs to /workspace/project/llm_evaluation/wandb/run-20240906_150530-v8zl9h2t/logs/debug-internal.log
2024-09-06 15:05:30,687 INFO    MainThread:3384659 [wandb_init.py:init():607] calling init triggers
2024-09-06 15:05:30,687 INFO    MainThread:3384659 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {}
2024-09-06 15:05:30,687 INFO    MainThread:3384659 [wandb_init.py:init():657] starting backend
2024-09-06 15:05:30,687 INFO    MainThread:3384659 [wandb_init.py:init():661] setting up manager
2024-09-06 15:05:30,694 INFO    MainThread:3384659 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-06 15:05:30,695 INFO    MainThread:3384659 [wandb_init.py:init():669] backend started and connected
2024-09-06 15:05:30,699 INFO    MainThread:3384659 [wandb_init.py:init():767] updated telemetry
2024-09-06 15:05:30,708 INFO    MainThread:3384659 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-09-06 15:05:32,815 INFO    MainThread:3384659 [wandb_init.py:init():851] starting run threads in backend
2024-09-06 15:05:36,284 INFO    MainThread:3384659 [wandb_run.py:_console_start():2463] atexit reg
2024-09-06 15:05:36,284 INFO    MainThread:3384659 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-09-06 15:05:36,285 INFO    MainThread:3384659 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-09-06 15:05:36,285 INFO    MainThread:3384659 [wandb_run.py:_redirect():2399] Redirects installed.
2024-09-06 15:05:36,286 INFO    MainThread:3384659 [wandb_init.py:init():894] run started, returning control to user process
2024-09-06 15:06:55,348 WARNING MsgRouterThr:3384659 [router.py:message_loop():77] message_loop has been closed
